#CODE;ENGLISH;;;;;;;;;x 
ACQUISITION_CLAIM;Conquered as a Claimant;;;;;;;;;x 
COMPL_WISE;wise;;;;;;;;;x 
COMPL_PURPLE_BORN;purple-born;;;;;;;;;x 
COMPL_AUGUSTUS;Augustus;;;;;;;;;x 
COMPL_HOLY_WARRIOR;holy warrior;;;;;;;;;x 
COMPL_MONK;monk;;;;;;;;;x 
COMPL_NUN;nun;;;;;;;;;x 
COMPL_CHARMER;charmer;;;;;;;;;x 
COMPL_CHARMING;charming;;;;;;;;;x 
COMPL_RAVISHING;ravishing;;;;;;;;;x 
COMPL_ENCHANTRESS;enchantress;;;;;;;;;x 
COMPL_FETCHING;fetching;;;;;;;;;x 
COMPL_GREAT;great;;;;;;;;;x 
COMPL_SWEET;sweet;;;;;;;;;x 
COMPL_DEAR;dear;;;;;;;;;x 
COMPL_LORD;lord;;;;;;;;;x 
COMPL_LADY;lady;;;;;;;;;x 
COMPL_SEDUCER;seducer;;;;;;;;;x 
COMPL_PLEASANT;pleasant;;;;;;;;;x 
COMPL_LEVELHEADED;levelheaded;;;;;;;;;x 
COMPL_WRY;wry;;;;;;;;;x 
AIREASON_UNFAITHFULNESS;Unfaithfulness;;;;;;;;;x 
HAS_NOT_POLYGAMY;Does not have Polygamy;;;;;;;;;x 
HAS_POLYGAMY;Has Polygamy;;;;;;;;;x 
HAS_NOT_CONCUBINAGE;Does not have Concubinage;;;;;;;;;x 
HAS_CONCUBINAGE;Has Concubinage;;;;;;;;;x 
DIVORCE_INTERACTION_2;Divorce §Y[Recipient.GetTitledFirstName]§! for [Recipient.GetPossPronoun] proven unfaithfulness! [Recipient.GetPossPronounCap] close relatives will still be insulted (§R$OPINION$§! opinion)...;;;;;;;;;x 
ASK_FOR_DIVORCE_INTERACTION_2;Ask §Y[Actor.RelHead.GetTitledFirstName]§W for a divorce from §Y[Actor.Spouse.GetFirstName]§W. Due to [Actor.Spouse.GetPossPronoun] unfaithfulness, the request will not be denied and will cost nothing. However, it will still be viewed as an insult by [Actor.Spouse.GetPossPronoun] relatives.;;;;;;;;;x 
EVTOPTA301_DESC;[From.GetFirstName] is declared a legitimate [From.GetSonDaughter] with full inheritance rights.\n;;;;;;;;;x 
EVTOPTB301_DESC;[From.GetFirstName] remains illegitimate, but is sanctioned as my [From.GetSonDaughter] and can be married off to form alliances. If [From.GetSubjectPronoun] ever has children, a new dynasty will be created for that line.\n;;;;;;;;;x 
EVTOPTC301_DESC;[From.GetFirstName] is denounced as a bastard with an unknown father, having no official connection to me at all.\n;;;;;;;;;x 
EVTDESC404_KF;My [GetFromRelation] [From.GetFirstName] is pregnant and I can't possible be the father! The realm is already astir with gossip - everyone knows [From.FatherOfUnborn.GetTitledName] is the real father.;;;;;;;;;x 
EVTDESC404_2;My [GetFromRelation] [From.GetFirstName] tells me she is pregnant, but that can't be right, can it?;;;;;;;;;x 
EVTOPTB404;Denounce them both as traitors!;;;;;;;;;x 
EVTDESC21001;I have thought it over, and I cannot be the father of my [GetFromRelation] [From.GetFirstName]'s baby. As it grows in her belly, I have trouble sleeping. I must put this matter to rest!;;;;;;;;;x 
EVTOPTA21001;Hire someone to find out;;;;;;;;;x 
EVTOPTB21001;No, I trust her word!;;;;;;;;;x 
EVTDESC21003;The maid I paid to spy on my [GetFromRelation] has confirmed my suspicions - [From.FatherOfUnborn.GetTitledName] is [From.GetFirstName]'s lover and the real father of the child!;;;;;;;;;x 
EVTDESC21003_CR;The woman I hired to spy on my [GetFromRelation] [From.GetFirstName] has found out the shocking truth about her pregnancy. I was right, I am not the father... [From.FatherOfUnborn.GetTitledFirstName] is, her own [GetFromVsFatherOfUnbornRelation]!;;;;;;;;;x 
EVTOPTA21003;By [Root.Religion.GetRandomGodName], I had better keep this quiet!;;;;;;;;;x 
EVTOPTB21003;Unholy! Expose the traitors!;;;;;;;;;x 
EVTOPTC21003;Holy... but treasonous. Expose them!;;;;;;;;;x 
EVTOPTD21003;This is High Treason!;;;;;;;;;x 
EVTDESC21005;My [GetFromRelation] just stormed in, roaring and smashing chairs. He knows about my affair with [Root.FatherOfUnborn.GetTitledFirstName]. He knows the child I carry is not his...;;;;;;;;;x 
EVTOPTA21005;The flesh is weak...;;;;;;;;;x 
EVTDESC21006;[From.GetTitledName] knows about my affair with [FromFrom.GetTitledFirstName]. He knows the child she carries is actually mine...;;;;;;;;;x 
EVTOPTA21006;This could spell my doom!;;;;;;;;;x 
EVTOPTB21006;How embarrassing!;;;;;;;;;x 
EVTDESC21010;The maid I hired to gain my [GetFromRelation] [From.GetFirstName]'s confidence has not found anything at all suspicious about her pregnancy.;;;;;;;;;x 
EVTOPTA21010;That's a relief!;;;;;;;;;x 
EVTOPTB21010;I must KNOW. I will confront her directly!;;;;;;;;;x 
EVTOPTC21010;Hire more spies!;;;;;;;;;x 
EVTOPTD21010;Lay a trap for her;;;;;;;;;x 
EVTDESC21011;The spies I hired at great expense to discover anything suspicious about my [GetFromRelation] [From.GetFirstName] and her pregnancy have failed to turn up anything at all.;;;;;;;;;x 
EVTOPTA21011;I guess the child must be mine then..?;;;;;;;;;x 
EVTDESC21012;My dear [GetFromRelation] [From.GetFirstName] is suspicious of my pregnancy. He is here right now asking me if the child is really his!;;;;;;;;;x 
EVTOPTA21012;Ensure him of my faithfulness!;;;;;;;;;x 
EVTOPTB21012;Tearfully admit my affair with [Root.FatherOfUnborn.GetTitledFirstName];;;;;;;;;x 
EVTOPTC21012;He's such a baby. Wrap him around my finger.;;;;;;;;;x 
EVTDESC21013;[From.GetFirstName] started crying when I asked her if she's being unfaithful. She profusely ensures me of her undying love, virtue and steadfastness...;;;;;;;;;x 
EVTOPTA21013;I'll never be entirely sure...;;;;;;;;;x 
EVTDESC21003_CONF;When asked outright, my [GetFromRelation] [From.GetFirstName] broke down and tearfully admitted to having an affair with [From.FatherOfUnborn.GetTitledName], blubbering about mercy and forgiveness!;;;;;;;;;x 
EVTDESC21003_CONF_CR;When asked outright, my [GetFromRelation] [From.GetFirstName] broke down and tearfully admitted to having an affair with [From.FatherOfUnborn.GetTitledName] - her own [GetFromVsFatherOfUnbornRelation]!;;;;;;;;;x 
EVTDESC21015;[From.GetFirstName] got angry when I confronted her about the pregnancy, saying she lives in a prison and that I am denying her even the most basic freedoms...;;;;;;;;;x 
EVTOPTA21015;Now I feel guilty...;;;;;;;;;x 
EVTDESC21016;I found a note from my beloved [Root.FatherOfUnborn.GetTitledFirstName] to meet him behind the smithy today, but it was my [GetFromRelation] [From.GetFirstName] who waited for me there!;;;;;;;;;x 
EVTOPTA21016;Darling, I can explain!;;;;;;;;;x 
EVTTOOLTIP21003_TRAP;[This.GetFirstName] flies into a rage!;;;;;;;;;x 
EVTDESC21003_TRAP;I planted a note in my [GetFromRelation]'s bedroom, instructing her to meet her lover behind the smithy. I stood there waiting, hoping she wouldn't come... but she did. She confessed to an affair with [From.FatherOfUnborn.GetTitledName]!;;;;;;;;;x 
EVTDESC21003_TRAP_CR;I planted a note in my [GetFromRelation]'s bedroom, instructing her to meet her lover behind the smithy. She came alright, and brokenly confessed to an affair with [From.FatherOfUnborn.GetTitledName] - her own [GetFromVsFatherOfUnbornRelation]!;;;;;;;;;x 
EVTTOOLTIP64046;[This.GetFirstName] and [Root.GetTitledFirstNameNoRegnal] break off their love affair;;;;;;;;;x 
alert_no_focus_name;Pick a Focus;;;;;;;;;x 
alert_no_focus_instant;§YPick a Character Focus§!;;;;;;;;;x 
alert_no_focus_delayed;You should pick a Focus for your character;;;;;;;;;x 
opinion_unfaithful_wife;Unfaithful Harlot;;;;;;;;;x 
opinion_unfaithful_husband;Unfaithful Lecher;;;;;;;;;x 
opinion_cuckolded;Cuckolded;;;;;;;;;x 
opinion_chasing_friend;Seducing my Friend;;;;;;;;;x 
opinion_chasing_spouse;Seducing my Spouse;;;;;;;;;x 
opinion_chasing_child;Seducing my Child;;;;;;;;;x 
adulterer;Adulterer;;;;;;;;;x 
adulteress;Adulteress;;;;;;;;;x 
known_sodomite;Known Sodomite;;;;;;;;;x 
cradle_robber;Cradle Robber;;;;;;;;;x 
incestuous_adulterer;Incestuous Adulterer;;;;;;;;;x 
incestuous_adulteress;Incestuous Adulteress;;;;;;;;;x 
opinion_suspected_adultery;Suspected Adultery;;;;;;;;;x 
opinion_regrets_accusation;Regrets Accusation;;;;;;;;;x 
opinion_advance_rejected;Advance Rejected;;;;;;;;;x 
opinion_killed_lover;Killed Lover;;;;;;;;;x 
adulterous_priest;Adulterous Priest;;;;;;;;;x 
wol_seducer_1;Aspiring Seducer;;;;;;;;;x 
desc_wol_seducer_1;This character is learning the arts of attraction and the thrill of the chase...;;;;;;;;;x 
wol_seducer_2;Seducer;;;;;;;;;x 
desc_wol_seducer_2;This character is a well known seducer and heartbreaker.;;;;;;;;;x 
wol_court_tomcat;Court Tomcat;;;;;;;;;x 
desc_wol_court_tomcat;This man is a notorious tail chaser who runs circles around jealous husbands and lovers.;;;;;;;;;x 
wol_court_vixen;Court Vixen;;;;;;;;;x 
desc_wol_court_vixen;This lady is a notorious minx who knows all about outmanoeuvring jealous wives and lovers.;;;;;;;;;x 
wol_refused_duel;Refused to Duel;;;;;;;;;x 
desc_wol_refused_duel;Challenged to an honorably duel, this character cravenly refused.;;;;;;;;;x 
FOCUS;Focus;;;;;;;;;x 
MILADY;Milady;;;;;;;;;x 
MILORD;Milord;;;;;;;;;x 
CHOOSE_FOCUS_OR_AMBITION;Choose Focus or Ambition;;;;;;;;;x 
FOCUSABORTED_SETUP;Focus Abandoned;;;;;;;;;x 
FOCUSABORTED_LOG;§Y$CHARNAME$§! can no longer focus on §Y$FOCUS$§!.;;;;;;;;;x 
FOCUSABORTED_LETTER;My current situation prevents me from focusing on $FOCUS$.;;;;;;;;;x 
HAS_FOCUS;Focusing on §Y$FOCUS$§!;;;;;;;;;x 
HAS_A_FOCUS;Has a Focus;;;;;;;;;x 
HAS_NO_FOCUS;Has no Focus;;;;;;;;;x 
SET_FOCUS_EFFECT;$CHAR$ gets the Focus §Y$FOCUS$§!\n;;;;;;;;;x 
focus_rulership_title;Rulership;;;;;;;;;x 
focus_rulership_desc;[This.GetTitledFirstName] spends [This.GetPossPronoun] time and effort trying to govern well.;;;;;;;;;x 
RULERSHIP_FOCUS;Rulership Focus;;;;;;;;;x 
focus_business_title;Business;;;;;;;;;x 
focus_business_desc;[This.GetTitledFirstName] fraternizes with burghers and merchants, seeking to unravel the enigma of gold.;;;;;;;;;x 
BUSINESS_FOCUS;Business Focus;;;;;;;;;x 
focus_seduction_title;Seduction;;;;;;;;;x 
focus_seduction_desc;[This.GetTitledFirstName] hones [This.GetPossPronoun] skills of attraction, for thrills and power. This Focus unlocks the §YSeduce§! option vs suitable targets.;;;;;;;;;x 
SEDUCTION_FOCUS;Seduction Focus;;;;;;;;;x 
focus_intrigue_title;Intrigue;;;;;;;;;x 
#focus_intrigue_desc;[This.GetTitledFirstName] seeks to become a better schemer, spending most of [This.GetPossPronoun] time engrossed in court intrigue. This Focus unlocks the §YAbduct§! option vs suitable targets.;;;;;;;;;x 
INTRIGUE_FOCUS;Intrigue Focus;;;;;;;;;x 
focus_hunting_title;Hunting;;;;;;;;;x 
focus_hunting_desc;[This.GetTitledFirstName] travels the realm making friends and killing off [This.Religion.GetHighGodName]'s creatures.;;;;;;;;;x 
HUNTING_FOCUS;Hunting Focus;;;;;;;;;x 
focus_war_title;War;;;;;;;;;x 
focus_war_desc;[This.GetTitledFirstName] engages in all things martial, from melee training to reading the works of ancient generals. This Focus unlocks the §YDuel§! action vs rivals and foes.;;;;;;;;;x 
WAR_FOCUS;War Focus;;;;;;;;;x 
focus_carousing_title;Carousing;;;;;;;;;x 
focus_carousing_desc;[This.GetTitledFirstName] strives to become more popular and outgoing by hosting wild parties. This Focus unlocks the §YInvite to Carousing§! option vs suitable targets.;;;;;;;;;x 
CAROUSING_FOCUS;Carousing Focus;;;;;;;;;x 
focus_family_title;Family;;;;;;;;;x 
focus_family_desc;[This.GetTitledFirstName] concentrates on family life, ensuring better relations between all family members.;;;;;;;;;x 
FAMILY_FOCUS;Family Focus;;;;;;;;;x 
focus_scholarship_title;Scholarship;;;;;;;;;x 
focus_scholarship_desc;[This.GetTitledFirstName] buries [This.GetPossPronoun] nose in dusty old tomes, seeking knowledge and learning.;;;;;;;;;x 
SCHOLARSHIP_FOCUS;Scholarship Focus;;;;;;;;;x 
focus_theology_title;Theology;;;;;;;;;x 
focus_theology_desc;[This.GetTitledFirstName] leads a religious life of contemplation, prayer and meditation.;;;;;;;;;x 
THEOLOGY_FOCUS;Theology Focus;;;;;;;;;x 
seduce_decision;Seduce;;;;;;;;;x 
seduce_decision_desc;Focus your seduction efforts on §Y[This.GetTitledFirstName]§! in the hopes of gaining a new lover...;;;;;;;;;x 
DIP_PERFORM_ACTION;Do it!;;;;;;;;;x 
opinion_seducing;Seducing;;;;;;;;;x 
opinion_seduced_attracted;Attracted;;;;;;;;;x 
opinion_seduced_repelled;Repelled;;;;;;;;;x 
opinion_seduced_yearning;Yearning;;;;;;;;;x 
seducer;Master Seducer;;;;;;;;;x 
seducer_desc;This man is a notorious rake and debaucher who leaves a trail of broken hearts - and bastards - in his wake.;;;;;;;;;x 
seductress;Master Seductress;;;;;;;;;x 
seductress_desc;This woman is an infamous siren and temptress whose virtue is certainly in doubt...;;;;;;;;;x 
administrator;Administrator;;;;;;;;;x 
administrator_desc;This character is a devoted administrator who loves order and efficiency above all things.;;;;;;;;;x 
architect;Architect;;;;;;;;;x 
architect_desc;This character loves buildings, architecture and machinery, particularly anything related to siege warfare.;;;;;;;;;x 
strategist;Strategist;;;;;;;;;x 
strategist_desc;This character loves planning campaigns and analyzing the current state of affairs.;;;;;;;;;x 
socializer;Socializer;;;;;;;;;x 
socializer_desc;This character is committed to being well liked, and spends most spare time in the company of others.;;;;;;;;;x 
#schemer;Schemer;;;;;;;;;x 
schemer_desc;This character leads a life of intrigue and manipulation.;;;;;;;;;x 
HAS_ANY_OPINION_MOD;Has the '§Y$MOD$§!' Opinion of Anyone;;;;;;;;;x 
HAS_NO_OPINION_MOD;Does not have the '§Y$MOD$§!' Opinion of Anyone;;;;;;;;;x 
AGE_DIFF_AT_LEAST;Age Difference at least ;;;;;;;;;x 
AGE_DIFF_LESS_THAN;Age Difference less than ;;;;;;;;;x 
EVTTITLE_WOL_55;A Dirty Secret;;;;;;;;;x 
EVTDESC_WOL_55;Just the other day - skulking as I often do - I caught [FromFrom.GetTitledName] and my [GetFromRelation] [From.GetFirstName] in flagrante! Lost in passion, they did not notice me, but I am still in shock!;;;;;;;;;x 
EVTDESC_WOL_55_CR;Just the other day - skulking as I often do - I caught [FromFrom.GetTitledName] and my [GetFromRelation] [From.GetFirstName] in flagrante! I can't believe it... [GetFromVsFromFromRelation] and [GetFromFromVsFromRelation]! They did not notice me, but I am still in shock!;;;;;;;;;x 
EVTDESC_WOL_55_M_HOMO;Just the other day - skulking as I often do - I caught [FromFrom.GetTitledName] and my [GetFromRelation] [From.GetFirstName] doing what man should not do to man! They didn't notice me, but I am still in shock!;;;;;;;;;x 
EVTDESC_WOL_55_F_HOMO;Just the other day - skulking as I often do - I caught [FromFrom.GetTitledName] and my [GetFromRelation] [From.GetFirstName] performing a very strange and intimate exercise... naked. They didn't notice me, but I am still in shock!;;;;;;;;;x 
EVTDESC_WOL_55_PRIEST;Just the other day - skulking as I often do - I caught [FromFrom.GetTitledName] and my [GetFromRelation] [From.GetFirstName] in flagrante! A [From.GetManWoman] of God! They didn't notice me, but I am still in shock!;;;;;;;;;x 
EVTDESC_WOL_55_AGE_YOUNG;Just the other day - skulking as I often do - I caught [FromFrom.GetTitledName] and my [GetFromRelation] [From.GetFirstName] in flagrante! For shame, [From.GetSubjectPronoun] could be [FromFrom.GetPossPronoun] [From.GetSonDaughter]! They didn't notice me, but I am still in shock!;;;;;;;;;x 
EVTDESC_WOL_55_AGE_OLD;Just the other day - skulking as I often do - I caught [FromFrom.GetTitledName] and my [GetFromRelation] [From.GetFirstName] in flagrante! For shame, [From.GetSubjectPronoun] could be [FromFrom.GetPossPronoun] [From.GetFatherMother]! They didn't notice me, but I am still in shock!;;;;;;;;;x 
EVTDESC_WOL_55_F_MARRIED;Just the other day - skulking as I often do - I caught [FromFrom.GetTitledName] and my [GetFromRelation] [From.GetFirstName] in flagrante! They did't notice me, but I am still in shock! [From.GetSubjectPronounCap] is a married [From.GetManWoman], by [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTOPTA_WOL_55;Scandalous! They must be exposed!;;;;;;;;;x 
EVTOPTA_WOL_55_UNHOLY;Unholy sinners! They must be exposed!;;;;;;;;;x 
EVTOPTB_WOL_55;The flesh is weak. Forgive and forget.;;;;;;;;;x 
EVTOPTC_WOL_55;I smell profit!;;;;;;;;;x 
EVTTOOLTIP_WoL_60;[This.GetBestName]'s affair is exposed;;;;;;;;;x 
EVTTOOLTIP_WoL_56;[This.GetTitledName] is blackmailed;;;;;;;;;x 
EVTDESC_WOL_56;To [Root.GetTitledFirstName]. I know what you're doing with my [GetFromVsFromFromRelation] [FromFrom.GetTitledFirstName], you [GetFromRootInsult]. However, I understand the flesh is weak and would be willing to keep quiet about this affair for a small... donation.\n\n[From.GetBestName];;;;;;;;;x 
