#CODE;ENGLISH;;;;;;;;;x 
#MODIFIER_COMBAT_RATING;Combat Rating;;;;;;;;;x 
CR_DIFF_LOWER_THAN;Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;;;;;;;;;x 
EVTOPTA_WOL_560;The magnificent old rose bush! She must be its spirit.;;;;;;;;;x 
EVTOPTB_WOL_560;Wait... why am I out here in my smallclothes at this hour?;;;;;;;;;x 
EVTTOOLTIP_WoL_561;You enter the rose bush, professing your love.;;;;;;;;;x 
EVTDESC_WOL_561;When I staggered out of the rose bush hours had passed, my head filled with carnal but vague memories. I am bleeding all over from the cruel thorns. The voluptuous dryad has exacted her price...;;;;;;;;;x 
EVTOPTA_WOL_561;Will I ever see her again?;;;;;;;;;x 
EVTDESC_WOL_562;Today the servants found a newborn baby in a basket under the magical rose bush of my dryad lover!;;;;;;;;;x 
EVTOPTA_WOL_562;Proclaim that little [target_baby.GetFirstName] is my [target_baby.GetSonDaughter]!;;;;;;;;;x 
EVTOPTB_WOL_562;[target_baby.GetFirstName] will be well cared for.;;;;;;;;;x 
EVTDESC_WOL_570;The centaur beckons to me, massive muscles flexing. I have never seen anything more masculine in my life!;;;;;;;;;x 
EVTOPTA_WOL_570;I am overcome by his musky scent.;;;;;;;;;x 
EVTOPTB_WOL_570;Wait... a centaur? In our stables?!;;;;;;;;;x 
EVTTOOLTIP_WoL_571;You succumb to your desires.;;;;;;;;;x 
EVTDESC_WOL_571;I came to in a state of bliss, mind filled with foggy images of the stunningly handsome centaur and our night of passion.;;;;;;;;;x 
EVTOPTA_WOL_571;Will I ever see him again?;;;;;;;;;x 
EVTDESC_WOL_580;The misery of my captivity is only broken when I get to apply my charms on the gaoler. I can tell the ugly lout desires me... perhaps I can exploit his weakness to escape?;;;;;;;;;x 
EVTOPTA_WOL_580;Come here, handsome!';;;;;;;;;x 
EVTOPTB_WOL_580;It is too risky.;;;;;;;;;x 
EVTDESC_WOL_581;The gaoler unlocked the cell and entered, leering. As he started to fondle me, I suggested heading to a more romantic location. He burst out laughing, slapped me on the rump and left, snickering scornfully.;;;;;;;;;x 
EVTOPTA_WOL_581;I am sure his [Root.Host.GetMasterMistress], [Root.Host.GetTitledFirstNameNoRegnal], will hear of this...;;;;;;;;;x 
EVTDESC_WOL_582;My prisoner, [From.GetTitledName], attempted to use her female charms on the gaoler to escape. Fortunately, he did not fall for her wiles.;;;;;;;;;x 
EVTOPTA_WOL_582;Spunky! I say she has earned better quarters.;;;;;;;;;x 
EVTOPTB_WOL_582;Reward the gaoler for his integrity.;;;;;;;;;x 
EVTOPTC_WOL_582;The [GetRootFromInsult]! Throw her in the oubliette.;;;;;;;;;x 
EVTDESC_WOL_583;[From.GetTitledFirstNameNoRegnal] was so impressed by my initiative with the gaoler that [From.GetSubjectPronoun] personally escorted me out of the dungeon to better accomodations. It should be easier to escape from here...;;;;;;;;;x 
EVTOPTA_WOL_583;I am grateful.;;;;;;;;;x 
EVTDESC_WOL_584;When my captor [From.GetTitledFirstNameNoRegnal] learned of my seduction attempt, [From.GetSubjectPronoun] had me thrown in the Oubliette!;;;;;;;;;x 
EVTOPTA_WOL_584;The [GetRootFromInsult]! I will die in this hole...;;;;;;;;;x 
EVTDESC_WOL_585;The gaoler unlocked the cell and entered, leering. As he started to fondle me, I suggested heading to a more romantic location. He eagerly snuck me past a few other guards to his own cot, where I had to do things I am not proud of... Then I bashed him on the head with a heavy jug, grabbed his keys and clothes and made my escape!;;;;;;;;;x 
EVTOPTA_WOL_585;Freedom!;;;;;;;;;x 
EVTDESC_WOL_586;My chief gaoler was seduced by my prisoner, the wily [From.GetTitledName]. He took her to his cot where she bashed him on the head with a wine jug and managed to make her escape!;;;;;;;;;x 
EVTOPTA_WOL_586;Throw the idiot in the Oubliette!;;;;;;;;;x 
EVTDESC_WOL_590;My concubine, [target_consort.GetTitledFirstNameNoRegnal], does not love me. While love is not exactly necessary, I'd still like to see her beautiful face light up with smiles and laughter... so I've decided to romance her!;;;;;;;;;x 
EVTOPTA_WOL_590;Turn on the charm;;;;;;;;;x 
EVTTOOLTIP_WoL_591;The seduction of [This.GetFirstName] begins;;;;;;;;;x 
EVTDESC_WOL_592;I did get my [GetFromRelation] [From.GetFirstName] to laugh today, as I told her a silly joke about two squirrels. I think she is warming up to me...;;;;;;;;;x 
EVTDESC_WOL_592_B;I can tell my [GetFromRelation] [From.GetFirstName] is finally falling in love with me. She snuggled up to me as we watched the sunset together from the roof of the great tower.;;;;;;;;;x 
EVTOPTA_WOL_592;Good, that gladdens me!;;;;;;;;;x 
EVTDESC_WOL_593;Thanks to my romantic efforts, sweet [From.GetFirstName], my [GetFromRelation], has also become my lover. It feels great to be rid of the cold awkwardness around her!;;;;;;;;;x 
EVTOPTA_WOL_593;Finally!;;;;;;;;;x 
EVTDESC_WOL_594;Today, [From.GetFirstName], my [GetFromRelation], confessed that she has forgiven me for her abduction. She has grown to like her new life in [Root.Capital.Capital.GetName]... and me.;;;;;;;;;x 
EVTOPTA_WOL_594;I am relieved!;;;;;;;;;x 
EVTDESC_WOL_595;My [GetFromRelation] [From.GetFirstName] is not warming up to me at all. She laughs at my jokes, true, but not because she finds them funny, but with scorn. She told me outright that she despises me!;;;;;;;;;x 
EVTOPTA_WOL_595;I'll just have to keep at it!;;;;;;;;;x 
EVTOPTB_WOL_595;I give up. Perhaps I should put her aside...;;;;;;;;;x 
EVTDESC_WOL_1150;Having many lovers is exciting and fulfilling. So much love, so much desire... but so little time! I feel like I'm burning the candle at both ends.;;;;;;;;;x 
EVTOPTA_WOL_1150;I can make this work!;;;;;;;;;x 
EVTOPTB_WOL_1150;Break up with [first_lover.GetTitledFirstNameNoRegnal];;;;;;;;;x 
EVTOPTC_WOL_1150;Break up with [second_lover.GetTitledFirstNameNoRegnal];;;;;;;;;x 
EVTOPTD_WOL_1150;Break up with [third_lover.GetTitledFirstNameNoRegnal];;;;;;;;;x 
EVTDESC_WOL_1160;My beloved [my_lover.GetTitledFirstNameNoRegnal] is suffering from [my_lover.GetPossPronoun] bad marriage with [my_lover.Spouse.GetTitledFirstName]. Perhaps I should suggest a romantic retreat to the countryside, just the two of us (and our most trusted retainers)?;;;;;;;;;x 
EVTOPTA_WOL_1160;I yearn for [my_lover.GetPossPronoun] embrace!;;;;;;;;;x 
EVTOPTB_WOL_1160;No. What if [my_lover.Spouse.GetFirstName] were to find out?;;;;;;;;;x 
EVTTOOLTIP_WoL_1161;The suggestion is made. [This.GetTitledFirstNameNoRegnal] gets to decide...;;;;;;;;;x 
EVTDESC_WOL_1161;Ripped pillows, broken furniture, shattered vases... My marriage to [Root.Spouse.GetFirstName] has devolved into an unending torment of bitter arguments and fiery rows. I would be depressed, but my lover, [From.GetTitledFirstNameNoRegnal], just suggested that we retire to the countryside for a few days of carefree romance and passion!;;;;;;;;;x 
EVTOPTA_WOL_1161;What a splendid idea!;;;;;;;;;x 
EVTOPTB_WOL_1161;No... let's be together right here under [Root.Spouse.GetFirstName]'s nose!;;;;;;;;;x 
EVTOPTC_WOL_1161;I wish... but we can't risk it.;;;;;;;;;x 
EVTOPTD_WOL_1161;We can't! The Watcher... he sees all!;;;;;;;;;x 
EVTTOOLTIP_WoL_1162;We risk discovery by [Root.Spouse.GetFirstName];;;;;;;;;x 
EVTTOOLTIP_WoL_1163;There is almost no risk of discovery by [Root.Spouse.GetFirstName];;;;;;;;;x 
EVTDESC_WOL_1162;[From.GetFirstName] convinced me to stay in [From.Capital.Capital.GetName] so that we could be together right under [From.Spouse.GetTitledFirstNameNoRegnal]'s nose. We even made love in [From.Spouse.GetPossPronoun] bed!;;;;;;;;;x 
EVTOPTA_WOL_1162;We are so naughty...;;;;;;;;;x 
EVTDESC_WOL_1163;My [GetFromRelation] [From.GetFirstName] and I spent a few days of romance and passion in a country house far away from the prying eyes of [From.Spouse.GetTitledFirstNameNoRegnal]...;;;;;;;;;x 
EVTOPTA_WOL_1163;I am so happy! Exhausted too...;;;;;;;;;x 
EVTDESC_WOL_1164;My [GetFromRelation] [From.GetFirstName] declined my suggestion that we spend some time together alone in a country house, for fear of upsetting [From.GetPossPronoun] [From.Spouse.GetHusbandWife].;;;;;;;;;x 
EVTOPTA_WOL_1164;Such a wasted opportunity!;;;;;;;;;x 
EVTDESC_WOL_1164_MAD;My [GetFromRelation] [From.GetFirstName] declined my suggestion that we spend some time together alone in a country house, mumbling about a Watcher with 'cruel eyes' who sees all...;;;;;;;;;x 
EVTOPTA_WOL_1164_MAD;My poor love, I fear [From.GetSubjectPronoun] is losing it!;;;;;;;;;x 
EVTOPTA_WOL_1164_MAD_MAD;Aagh! Not the Watcher! I must hide...;;;;;;;;;x 
EVTDESC_WOL_2002;Life in the shadows is a risky affair - eavesdroppers can be discovered, plots can backfire, and vengeful victims come after you dagger in hand! I am not proud of what I do, but it is for the greater good.;;;;;;;;;x 
EVTDESC_WOL_2003;Even the mightiest army can be defeated by a single [Root.GetManWoman]. Cut off the head and the body falls. I am [Root.GetFirstName] - [Root.GetMasterMistress] of Shadows.;;;;;;;;;x 
EVTOPTA_WOL_2003;I shall rule from the shadows.;;;;;;;;;x 
EVTOPTB_WOL_2003;I shall strike terror into the hearts of my foes!;;;;;;;;;x 
EVTOPTC_WOL_2003;And yet, I won't let the shadows define me...;;;;;;;;;x 
EVTDESC_WOL_2050;I - and my trusted snoops and sneaks - will keep a very close eye on the activities of [From.GetTitledName]... a close eye indeed.;;;;;;;;;x 
EVTOPTA_WOL_2050;I wonder what secrets [From.GetSubjectPronoun] is hiding?;;;;;;;;;x 
EVTDESC_WOL_2061;There is no point spying on [FromFromFrom.GetTitledFirstName] anymore, considering [FromFromFrom.GetSubjectPronoun] is dead!;;;;;;;;;x 
EVTOPTA_WOL_2061;Time to turn my attention elsewhere.;;;;;;;;;x 
EVTDESC_WOL_2062;[FromFromFrom.GetTitledFirstName] has ended up in prison, so there's no point spying on [FromFromFrom.GetObjectPronoun] anymore.;;;;;;;;;x 
EVTDESC_WOL_2063;[FromFromFrom.GetTitledFirstName], the target of my current spy efforts, has tragically fallen comatose, making the endeavour pointless.;;;;;;;;;x 
EVTDESC_WOL_2064;[FromFromFrom.GetTitledFirstName] is no longer present in the realm, so there is no further point to my spying.;;;;;;;;;x 
EVTDESC_WOL_2071;My spying on [target_spy_on.GetTitledName] has revealed [target_spy_on.GetPossPronoun] complicity in a shadowy plot to [From.GetPlot]!;;;;;;;;;x 
EVTOPTA_WOL_2071;Knowledge is power!;;;;;;;;;x 
EVTDESC_WOL_2080;My snoops overheard [FromFromFrom.GetTitledName] as [FromFromFrom.GetSubjectPronoun] told shocking lies about [FromFromFrom.GetPossPronoun] rightful liege! How should I use this information?;;;;;;;;;x 
EVTDESC_WOL_2080_BASTARD;I have unearthed authentic love letters proving that [FromFromFrom.GetTitledName] is actually a bastard! [FromFromFrom.GetPossPronounCap] mother, [FromFromFrom.Mother.GetTitledFirstName] had a torrid love affair with [FromFromFrom.RealFather.GetTitledName]. How should I use this shocking information?;;;;;;;;;x 
EVTDESC_WOL_2080_DEVIANT;My eyes and ears have discovered the bizarre and repulsive truth about [FromFromFrom.GetTitledName]'s sexual preferences. How should I use this juicy information?;;;;;;;;;x 
EVTDESC_WOL_2080_HERETIC;Thanks to my loyal spies, I have found out that [FromFromFrom.GetTitledName] is attempting to promote [FromFromFrom.GetPossPronoun] vile heresies. How should I use this information?;;;;;;;;;x 
EVTDESC_WOL_2080_INFIDEL;My trusted informants tell me that [FromFromFrom.GetTitledName] is preaching [FromFromFrom.GetPossPronoun] false religion in [FromFromFrom.Capital.GetName]. How should I use this information?;;;;;;;;;x 
EVTDESC_WOL_2080_TRAITOR;Though of somewhat dubious provenance, I have received information that [FromFromFrom.GetTitledName] is plotting treason against [FromFromFrom.GetPossPronoun] rightful liege! How should I use this explosive information?;;;;;;;;;x 
EVTOPTA_WOL_2080;Inform [target_spy_on.GetPossPronoun] liege, [target_spy_on.Liege.GetTitledName].;;;;;;;;;x 
EVTOPTB_WOL_2080;Expose and denounce [target_spy_on.GetObjectPronoun] publicly, giving me a reason to arrest [target_spy_on.GetObjectPronoun]!;;;;;;;;;x 
EVTOPTB_WOL_2080_HARSH;Denounce [target_spy_on.GetObjectPronoun], giving me reasons for arrest and revokation!;;;;;;;;;x 
EVTOPTC_WOL_2080;Threaten [target_spy_on.GetFirstName] with exposure unless [target_spy_on.GetSubjectPronoun] stays out of all factions.;;;;;;;;;x 
EVTOPTD_WOL_2080;Threaten [target_spy_on.GetFirstName] with exposure unless [target_spy_on.GetSubjectPronoun] joins my factions.;;;;;;;;;x 
EVTOPTE_WOL_2080;Keep this information to myself.;;;;;;;;;x 
EVTDESC_WOL_2081;[From.GetTitledName] claims to have proof that I have slandered [From.GetObjectPronoun] - just cause for arrest and imprisonment!;;;;;;;;;x 
EVTDESC_WOL_2081_BASTARD;[From.GetTitledName] claims to have discovered proof that my real father is in fact [Root.RealFather.GetTitledName], making me a bastard! I could be arrested, or even have my titles revoked over this!;;;;;;;;;x 
EVTDESC_WOL_2081_TRAITOR;[From.GetTitledName] is publicly denouncing me as a traitor, claiming to have witnesses that can testify against me. I could be arrested, or even have my titles revoked over this!;;;;;;;;;x 
EVTDESC_WOL_2081_HERETIC;[From.GetTitledName] is claiming that I am promoting heresy! I could be arrested over this.;;;;;;;;;x 
EVTDESC_WOL_2081_INFIDEL;[From.GetTitledName] is claiming that I am attempting to spread my [Root.Religion.GetGroupName] faith! I could be arrested over this.;;;;;;;;;x 
EVTDESC_WOL_2081_DEVIANT;[From.GetTitledName] claims to have unearthed shocking evidence of my criminal deviancy and low morals. I could be arrested over this slander.;;;;;;;;;x 
EVTOPTA_WOL_2081;Foul lies!;;;;;;;;;x 
EVTDESC_WOL_2082;[From.GetTitledName] has provided me with proof that [target_spy_on.GetTitledName] has been viciously slandering me! How should I use this information?;;;;;;;;;x 
EVTDESC_WOL_2082_BASTARD;[From.GetTitledName] has unearthed authentic love letters proving that [target_spy_on.GetTitledName] is actually a bastard! [target_spy_on.GetPossPronounCap] mother, [target_spy_on.Mother.GetTitledFirstName] had a torrid love affair with [target_spy_on.RealFather.GetTitledName]. How should I use this shocking information?;;;;;;;;;x 
EVTDESC_WOL_2082_DEVIANT;[From.GetTitledName] has given me bizarre and repulsive evidence concerning [target_spy_on.GetTitledName]'s sexual preferences. How should I use this juicy information?;;;;;;;;;x 
EVTDESC_WOL_2082_HERETIC;[From.GetTitledName] claims that [target_spy_on.GetTitledName] is attempting to promote vile heresies. How should I use this information?;;;;;;;;;x 
EVTDESC_WOL_2082_INFIDEL;[From.GetTitledName] tell me that [target_spy_on.GetTitledName] is preaching [target_spy_on.GetPossPronoun] false religion in [target_spy_on.Capital.Capital.GetName]. How should I respond to this?;;;;;;;;;x 
EVTDESC_WOL_2082_TRAITOR;Though of somewhat dubious provenance, [From.GetTitledName] has presented me with evidence that [target_spy_on.GetTitledName] is plotting treason against me! How should I respond to this?;;;;;;;;;x 
EVTDESC_WOL_2083;[From.GetTitledName] was grateful, and upset, about the evidence I provided against [target_spy_on.GetTitledName]. [target_spy_on.GetSubjectPronounCap] has been publicly denounced and humiliated!;;;;;;;;;x 
EVTOPTA_WOL_2083;Muahaha!;;;;;;;;;x 
EVTDESC_WOL_2084;[From.GetTitledName] was grateful, and upset, about the evidence I provided against [target_spy_on.GetTitledName], and will use it to blackmail [target_spy_on.GetObjectPronoun] out of factionalism.;;;;;;;;;x 
EVTOPTA_WOL_2084;The things I do for stability in the realm...;;;;;;;;;x 
EVTDESC_WOL_2085;[From.GetTitledName] reacted with shock at the evidence I provided against [target_spy_on.GetTitledName], but will not take any action against [target_spy_on.GetObjectPronoun].;;;;;;;;;x 
EVTOPTA_WOL_2085;A wasted opportunity!;;;;;;;;;x 
EVTDESC_WOL_2086;[From.GetTitledName] claims to have proof that I have slandered [From.GetObjectPronoun]. [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...;;;;;;;;;x 
EVTDESC_WOL_2086_BASTARD;[From.GetTitledName] claims to have discovered proof that my real father is in fact [Root.RealFather.GetTitledName], making me a bastard! [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...;;;;;;;;;x 
EVTDESC_WOL_2086_TRAITOR;[From.GetTitledName] is publicly denouncing me as a traitor, claiming to have witnesses that can testify against me. [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...;;;;;;;;;x 
EVTDESC_WOL_2086_HERETIC;[From.GetTitledName] is claiming to know that I am promoting heresy, but promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...;;;;;;;;;x 
EVTDESC_WOL_2086_INFIDEL;[From.GetTitledName] is claiming to know about my attempts to spread my [Root.Religion.GetGroupName] faith! [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...;;;;;;;;;x 
EVTDESC_WOL_2086_DEVIANT;[From.GetTitledName] claims to have unearthed shocking evidence of my criminal deviancy and low morals. [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...;;;;;;;;;x 
EVTOPTA_WOL_2086;I have no choice but to agree.;;;;;;;;;x 
EVTOPTB_WOL_2086;Never!;;;;;;;;;x 
EVTDESC_WOL_2087;When confronted with the evidence, [From.GetTitledFirstName] swore to stay out of all factions and be loyal.;;;;;;;;;x 
EVTDESC_WOL_2088;[From.GetTitledFirstName] just laughed at the evidence, flat out refusing to stop meddling in political factionalism.;;;;;;;;;x 
EVTOPTA_WOL_2088;[From.GetSubjectPronounCap] will live to regret this!;;;;;;;;;x 
EVTDESC_WOL_2090;When confronted with the evidence, [From.GetTitledFirstName] swore to join my factions.;;;;;;;;;x 
EVTDESC_WOL_2091;[From.GetTitledFirstName] just laughed at the evidence, flat out refusing to join my factions.;;;;;;;;;x 
EVTDESC_WOL_2100;I have found out nothing new and useful about [target_spy_on.GetTitledName], but, as my shady informant pointed out, there is nothing preventing me from making stuff up. The bigger the lie...;;;;;;;;;x 
EVTOPTA_WOL_2100_1;I have it! [target_spy_on.GetSubjectPronounCap] likes to dress up as a [target_spy_on.GetManWomanOpp]!;;;;;;;;;x 
EVTOPTA_WOL_2100_2;How about a classic? [target_spy_on.GetSubjectPronounCap] takes little boys to bed!;;;;;;;;;x 
#EVTOPTA_WOL_2100_3;Hmmm. Midgets, old shoes, animals... Yes! [target_spy_on.GetFirstName] is having an affair with a feisty goat!;;;;;;;;;x 
EVTOPTA_WOL_2100_4;[target_spy_on.GetSubjectPronounCap] likes to bathe in the blood of virgins. Brilliant!;;;;;;;;;x 
#EVTOPTA_WOL_2100_5;How about murder? I am sure [target_spy_on.GetSubjectPronoun] murdered a childhood friend at the tender age of 11.;;;;;;;;;x 
#EVTOPTA_WOL_2100_6;Aha! [target_spy_on.GetSubjectPronounCap] likes to discuss philosophy with [target_spy_on.GetPossPronoun] imaginary friend, Bappo!;;;;;;;;;x 
EVTOPTA_WOL_2100_7;[target_spy_on.Religion.GetRandomEvilGodNameCap]! Yes, [target_spy_on.GetSubjectPronoun] is surely a willing slave to dark forces!;;;;;;;;;x 
#EVTOPTA_WOL_2100_8;[target_spy_on.GetFirstName] leads a secret life as a prostitute in the filthiest brothel in [target_spy_on.Capital.Capital.GetName]!;;;;;;;;;x 
EVTOPTB_WOL_2100;No, I need something real.;;;;;;;;;x 
EVTTOOLTIP_WOL_2101;[This.GetTitledFirstName] finds out that I started the rumors.;;;;;;;;;x 
EVTDESC_WOL_2101;Several vicious rumors have been circulating about me lately. With a lot of effort, I have finally managed to trace them back to [From.GetTitledName]!;;;;;;;;;x 
EVTOPTA_WOL_2101;The [GetRootFromInsult]!;;;;;;;;;x 
EVTDESC_WOL_2110;One of my informants, a young soldier with more vices than he can afford, has managed to gain the trust of [FromFromFrom.GetTitledFirstNameNoRegnal] and now often stands guard outside [FromFromFrom.GetPossPronoun] door. I don't understand how the fellow managed it, but who am I to look a gift horse in the mouth? For enough gold, he might be persuaded to get rid of [FromFromFrom.GetFirstName]... violently.;;;;;;;;;x 
EVTOPTA_WOL_2110;Yes, that would be expedient.;;;;;;;;;x 
EVTOPTB_WOL_2110;Murder is going too far!;;;;;;;;;x 
EVTTOOLTIP_WOL_2111;[This.GetTitledFirstNameNoRegnal] is attacked and hopefully slain...;;;;;;;;;x 
EVTDESC_WOL_2111_DEATH;I try to sit up in bed, but someone is holding me down! It's the burly armsman with the trustworthy face I promoted to the guard last week. Another assailant is trying to force a rag into my mouth. Holding my nose too... can't breathe...;;;;;;;;;x 
EVTDESC_WOL_2111_WOUNDED;I try to sit up in bed, but someone is holding me down! It's the burly armsman with the trustworthy face I promoted to the guard last week. There is a skinny little fellow with him, grinning viciously as he produces a dagger and stabs me! Screaming and thrashing about, I manage to kick the guard in the groin and break free. I punch the other one in the nose and rush from the room, trailing blood.;;;;;;;;;x 
EVTDESC_WOL_2111_LIVES;I try to sit up in bed, but someone is holding me down! It's the burly armsman with the trustworthy face I promoted to the guard last week. There is a skinny little fellow with him, grinning viciously as he produces a dagger. Screaming and thrashing about, I manage to kick the guard in the groin and break free. I punch the other one in the nose and rush from the room!;;;;;;;;;x 
EVTOPT_WOL_2111_DEATH;I don't want to die like this!;;;;;;;;;x 
EVTOPT_WOL_2111_DEATH_KNOWN;[From.GetTitledName] sends [From.GetPossPronoun] regards!';;;;;;;;;x 
EVTOPT_WOL_2111_UNKNOWN;Unfortunately, the two assailants got away.;;;;;;;;;x 
EVTOPT_WOL_2111_KNOWN;Under torture, the two men admitted that [From.GetTitledName] hired them!;;;;;;;;;x 
EVTDESC_WOL_2112;In disguise, I meet up with my friend, [From.GetTitledFirstNameNoRegnal]'s burly armsman and his shifty-looking associate at a run-down tavern. Grinning, he recounts how they stabbed [From.GetTitledName] to death in [From.GetPossPronoun] bed. I hand them a bag of coins and leave.;;;;;;;;;x 
EVTOPTA_WOL_2112;Outside, I order my guards to tie up the loose ends...;;;;;;;;;x 
